Dubnium,       Db, 105, 7,  5,   -1,  -1
Seaborgium,    Sg, 106, 7,  6,   -1,  -1
Bohrium,       Bh, 107, 7,  7,   -1,  -1
Hassium,       Hs, 108, 7,  8,   -1,  -1
Meitnerium,    Mt, 109, 7,  9,   -1,  -1
Darmstadtium,  Ds, 110, 7, 10,   -1,  -1
Roentgenium,   Rg, 111, 7, 11,   -1,  -1
Copernicium,   Cn, 112, 7, 12,   -1,  -1
Nihonium,      Nh, 113, 7, 13,   -1,  -1
Flerovium,     Fl, 114, 7, 14,   -1,  -1
Moscovium,     Mc, 115, 7, 15,   -1,  -1
Livermonium,   Lv, 116, 7, 16,   -1,  -1
Tennessine,    Ts, 117, 7, 17,   -1,  -1
Oganesson,     Og, 118, 7, 18,   -1,  -1
